# PONTOS DA IMAGEM... 
0 1:46 2:45 3:40
0 1:24 2:23 3:18
0 1:7 2:6 3:2
0 1:2 2:1 3:0
0 1:2 2:1 3:0
0 1:5 2:4 3:0
0 1:7 2:6 3:2
0 1:6 2:5 3:1
0 1:5 2:4 3:0
0 1:7 2:6 3:2
0 1:2 2:2 3:0
0 1:3 2:3 3:1
0 1:8 2:7 3:5
0 1:4 2:3 3:1
0 1:0 2:0 3:0
0 1:0 2:0 3:0
0 1:2 2:0 3:3
0 1:2 2:0 3:3
0 1:5 2:1 3:2
0 1:5 2:1 3:2
0 1:9 2:3 3:3
0 1:15 2:10 3:7
0 1:20 2:12 3:9
0 1:20 2:12 3:9
0 1:11 2:6 3:3
0 1:4 2:0 3:0
0 1:4 2:3 3:1
0 1:6 2:5 3:3
0 1:2 2:2 3:2
0 1:1 2:1 3:1
0 1:0 2:2 3:1
0 1:0 2:2 3:1
0 1:1 2:1 3:1
0 1:1 2:1 3:1
0 1:1 2:3 3:0
0 1:0 2:2 3:0
0 1:1 2:3 3:2
0 1:3 2:5 3:4
0 1:0 2:2 3:1
0 1:0 2:2 3:1
0 1:1 2:1 3:1
0 1:1 2:1 3:1
0 1:1 2:3 3:2
0 1:0 2:2 3:1
0 1:1 2:1 3:1
0 1:0 2:0 3:0
0 1:0 2:0 3:0
0 1:1 2:0 3:2
0 1:7 2:2 3:8
0 1:10 2:5 3:11
0 1:6 2:1 3:7
0 1:4 2:0 3:5
0 1:6 2:1 3:5
0 1:8 2:4 3:5
0 1:11 2:7 3:6
0 1:32 2:28 3:25
0 1:21 2:18 3:13
0 1:13 2:10 3:3
0 1:15 2:12 3:3
0 1:22 2:19 3:10
0 1:23 2:21 3:9
0 1:13 2:10 3:1
0 1:6 2:3 3:0
0 1:9 2:6 3:0
0 1:20 2:16 3:5
0 1:37 2:33 3:21
0 1:32 2:28 3:16
0 1:21 2:17 3:5
0 1:21 2:17 3:5
0 1:22 2:18 3:6
0 1:22 2:18 3:7
0 1:18 2:14 3:3
0 1:16 2:12 3:3
0 1:21 2:17 3:8
0 1:22 2:18 3:7
0 1:20 2:16 3:4
0 1:17 2:13 3:2
0 1:11 2:7 3:0
0 1:9 2:7 3:0
0 1:15 2:13 3:1
0 1:18 2:16 3:3
0 1:20 2:18 3:5
0 1:21 2:19 3:6
0 1:22 2:20 3:7
0 1:27 2:25 3:12
0 1:33 2:31 3:18
0 1:35 2:33 3:18
0 1:32 2:31 3:13
0 1:31 2:30 3:10
0 1:31 2:30 3:10
0 1:21 2:20 3:2
0 1:20 2:19 3:1
